S I V
5e-05 0 163.61445
5e-05 0 161.45689
1e-04 0 255.31046 
1e-04 0 267.89618 
3e-04 0 363.90730 
3e-04 0 263.22149 
5e-04 0 474.66170 
5e-04 0 469.62740
7e-04 0 456.32249 
7e-04 0 443.37717  
5e-05 2e-08 92.05560  
5e-05 2e-08 85.58294 
1e-04 2e-08 156.42260 
1e-04 2e-08 133.04911 
3e-04 2e-08 281.56069 
3e-04 2e-08 318.95828
5e-04 2e-08 406.69877 
5e-04 2e-08 404.18163 
7e-04 2e-08 418.92491 
7e-04 2e-08 415.32898  
5e-05 4e-08 71.91844  
5e-05 4e-08 78.03151 
1e-04 4e-08 148.15198 
1e-04 4e-08 139.52177
3e-04 4e-08 263.94067 
3e-04 4e-08 274.36884 
5e-04 4e-08 367.50322 
5e-04 4e-08 348.44484 
7e-04 4e-08 357.79423 
7e-04 4e-08 360.67097  
5e-05 8e-08 16.90083  
5e-05 8e-08 30.92493
1e-04 8e-08 62.20945  
1e-04 8e-08 57.89434 
3e-04 8e-08 198.85448 
3e-04 8e-08 206.40592 
5e-04 8e-08 285.15661 
5e-04 8e-08 303.49581 
7e-04 8e-08 311.76643 
7e-04 8e-08 314.64317
